timestamp	msgtype	repeat	mmsi	status	turn	speed	accuracy	lon	lat	course	heading	second	maneuver	raim	radio
2017-07-21Z00:00:17.986965	3	0	235115088	5	-128	0.0	1	4.24844	51.91737	210.8	51.1	17	0	1	85178	
2017-07-21Z00:00:21.103635	1	0	244660375	15	-128	0.0	0	4.25057	51.91399	289.8	51.1	21	0	1	50251	
2017-07-21Z00:00:25.936983	1	0	244660374	15	-128	0.0	0	4.25148	51.9137	291.5	51.1	26	0	1	66505	
2017-07-21Z00:00:31.094065	1	0	244660375	15	-128	0.0	0	4.25058	51.91399	289.0	51.1	31	0	1	16384	
2017-07-21Z00:00:35.442177	1	0	244660374	15	-128	0.0	0	4.25148	51.9137	291.6	51.1	36	0	1	50195	
2017-07-21Z00:00:40.438350	1	0	235080023	0	0	0.0	0	4.24828	51.91725	333.9	3.0	39	0	0	115255	
2017-07-21Z00:00:41.338710	1	0	244660375	15	-128	0.0	0	4.25058	51.914	289.2	51.1	42	0	1	16384	
2017-07-21Z00:00:50.347721	1	0	235080023	0	0	0.0	0	4.24828	51.91724	294.4	3.0	49	0	0	34652	
2017-07-21Z00:00:50.428151	1	0	244660375	15	-128	0.0	0	4.25058	51.914	290.0	51.1	51	0	1	83013	
2017-07-21Z00:00:56.246049	1	0	244660374	15	-128	0.0	0	4.25147	51.91371	291.9	51.1	56	0	1	50193	
2017-07-21Z00:00:58.789191	1	0	235080023	0	0	0.0	0	4.24829	51.91724	280.5	3.0	58	0	0	67739	
2017-07-21Z00:01:00.669635	1	0	244660375	15	-128	0.0	0	4.25058	51.91401	289.6	51.1	1	0	1	65557	
2017-07-21Z00:01:05.503868	1	0	244660374	15	-128	0.0	0	4.25146	51.91371	291.5	51.1	6	0	1	50192	
2017-07-21Z00:01:08.945160	1	0	235080023	0	0	0.0	0	4.24829	51.91724	275.2	3.0	8	0	0	2290	
2017-07-21Z00:01:11.319864	1	0	244660375	15	-128	0.0	0	4.25058	51.91402	289.6	51.1	12	0	1	98725	
2017-07-21Z00:01:15.171823	3	0	244660374	15	-128	0.0	0	4.25147	51.91371	291.5	51.1	15	0	1	31107	
2017-07-21Z00:01:18.938769	1	0	235080023	0	0	0.0	0	4.2483	51.91723	269.1	3.1	18	0	0	16388	
2017-07-21Z00:01:25.898106	1	0	244660374	15	-128	0.0	0	4.25147	51.9137	291.2	51.1	26	0	1	50195	
2017-07-21Z00:01:35.485787	3	0	244660374	15	-128	0.0	0	4.25147	51.9137	291.2	51.1	36	0	1	19105	
2017-07-21Z00:01:40.483507	1	0	235080023	0	0	0.0	0	4.24831	51.91722	302.0	3.0	39	0	0	99819	
