geometry
geometry
geometry
POLYGON ((-10.0 -10.0, 10.0 -10.0, 10.0 10.0, -10.0 10.0, -10.0 -10.0))
POLYGON ((-14.545454545454545 -14.545454545454545, -5.454545454545455 -14.545454545454545, -5.454545454545455 -5.454545454545455, -14.545454545454545 -5.454545454545455, -14.545454545454545 -14.545454545454545))
POLYGON ((5.454545454545455 -14.545454545454545, 14.545454545454545 -14.545454545454545, 14.545454545454545 -5.454545454545455, 5.454545454545455 -5.454545454545455, 5.454545454545455 -14.545454545454545))
POLYGON ((5.454545454545455 5.454545454545455, 14.545454545454545 5.454545454545455, 14.545454545454545 14.545454545454545, 5.454545454545455 14.545454545454545, 5.454545454545455 5.454545454545455))
POLYGON ((-14.545454545454545 5.454545454545455, -5.454545454545455 5.454545454545455, -5.454545454545455 14.545454545454545, -14.545454545454545 14.545454545454545, -14.545454545454545 5.454545454545455))
POLYGON ((-10.0 -10.0, 10.0 -10.0, 10.0 10.0, -10.0 10.0, -10.0 -10.0))
POLYGON ((-14.545454545454545 -14.545454545454545, -5.454545454545455 -14.545454545454545, -5.454545454545455 -5.454545454545455, -14.545454545454545 -5.454545454545455, -14.545454545454545 -14.545454545454545))
POLYGON ((5.454545454545455 -14.545454545454545, 14.545454545454545 -14.545454545454545, 14.545454545454545 -5.454545454545455, 5.454545454545455 -5.454545454545455, 5.454545454545455 -14.545454545454545))
POLYGON ((5.454545454545455 5.454545454545455, 14.545454545454545 5.454545454545455, 14.545454545454545 14.545454545454545, 5.454545454545455 14.545454545454545, 5.454545454545455 5.454545454545455))
POLYGON ((-14.545454545454545 5.454545454545455, -5.454545454545455 5.454545454545455, -5.454545454545455 14.545454545454545, -14.545454545454545 14.545454545454545, -14.545454545454545 5.454545454545455))
POLYGON ((-10.0 -10.0, 10.0 -10.0, 10.0 10.0, -10.0 10.0, -10.0 -10.0))
POLYGON ((-14.545454545454545 -14.545454545454545, -5.454545454545455 -14.545454545454545, -5.454545454545455 -5.454545454545455, -14.545454545454545 -5.454545454545455, -14.545454545454545 -14.545454545454545))
POLYGON ((5.454545454545455 -14.545454545454545, 14.545454545454545 -14.545454545454545, 14.545454545454545 -5.454545454545455, 5.454545454545455 -5.454545454545455, 5.454545454545455 -14.545454545454545))
POLYGON ((5.454545454545455 5.454545454545455, 14.545454545454545 5.454545454545455, 14.545454545454545 14.545454545454545, 5.454545454545455 14.545454545454545, 5.454545454545455 5.454545454545455))
POLYGON ((-14.545454545454545 5.454545454545455, -5.454545454545455 5.454545454545455, -5.454545454545455 14.545454545454545, -14.545454545454545 14.545454545454545, -14.545454545454545 5.454545454545455))
